GEOID,hh_income,house_value
36061002901,,
36061002902,28615,893600
36061003001,78935,1128300
36061003002,73607,720600
36061003100,193667,1166700
36061003200,82984,
36061003300,250001,2000001
36061003400,92569,
36061003601,44193,869600
36061003602,130924,
36061003700,211979,2000001
36061003800,72736,2000001
36061003900,190563,2000001
36061004001,111985,805900
36061004002,139865,894700
36061004100,97287,790400
36061004200,128578,1207200
36061004300,102763,1332700
36061004400,125895,
36061004500,145370,2000001
36061004700,137882,2000001
36061004800,164620,777900
36061004900,119821,2000001
36061005000,168125,926100
36061005200,165972,1784100
36061005400,164700,1285000
36061005501,178008,937200
36061005502,129250,2000001
36061005600,162105,1419000
36061005700,198529,1352300
36061005800,138706,2000001
36061005900,151031,1153800
36061006000,189625,
36061006100,244702,995400
36061006200,100403,
36061006300,160781,1528300
36061006400,102312,1027600
36061006500,106561,1520000
36061006600,101127,675100
36061006700,113685,977200
36061006800,136962,761800
36061006900,237500,1612000
36061007001,110150,1033200
36061007002,130405,801700
36061007100,176711,1242500
36061007200,141161,768300
36061007300,142409,684200
36061007400,178045,885600
36061007500,109250,1138800
36061007600,131429,2000001
36061007700,143750,1333300
36061007800,151900,900800
36061007900,104246,1268300
36061008000,148750,1112300
36061008100,144375,1168500
36061008200,165911,1026300
36061008300,56197,675000
36061008400,200521,673200
36061008601,153333,1253700
36061008602,,
36061008603,204292,1337600
36061008700,172825,723900
36061008800,119571,704300
36061008900,111131,869400
36061009000,146289,826700
36061009100,148859,1842100
36061009200,153661,849200
36061009300,87706,
36061009400,,
36061009500,154274,2000001
36061009600,98846,
36061009700,64672,107200
36061009800,99657,806700
36061009901,250001,897500
36061009902,140077,2000001
36061009903,143011,
36061010000,101406,587500
36061010100,101500,
36061010200,83857,
36061010300,110756,422200
36061010400,165000,1086500
36061010601,243082,1347600
36061010602,194188,957800
36061010801,171250,712300
36061010802,139327,1086400
36061010803,139261,699700
36061010900,155417,
36061011000,144430,1140000
36061011100,109868,637200
36061011201,184200,1940500
36061011202,222500,2000001
36061011203,182014,1049200
36061011300,81667,645800
36061011401,250001,2000001
36061011402,204000,1653800
36061011500,147159,1511700
36061011600,87987,2000001
36061011700,124111,
36061011800,158472,986500
36061011900,18056,
